,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 15:54:13,#เหนือวายุ,ayeYaf4YgqEAwim,,12,"#เหนือวายุ เป็นนิยายแนวสืบสวนผสมความเป็นแฟนตาซีได้ดีมาก ที่น่าสนใจคือฆาตกรไม่ใช่คน และสารวัตรก็ไม่ใช่คนธรรมดาค่ะ เทพทรูกันทั้งหมด ภาษาดีงามเป็นที่สุดอิงตามยุคสมัยได้ดี บรรยายมีเสน่ห์ พาดเหยื่อสุดมาก เล่นกับครสและคสพดีมาก เราบอกเลยคู่นี้ ""แซ่บสุดในพระนคร"" #แนะนํานิยายวาย https://t.co/idHAmAdMnW", /เหนือวายุ,23,31,Mindyeol,ประเทศเฮงซวย! ชั้นจะเอาอะไรมาสุขนิยม คิดว่าอนาคตนอกจากสวยก็คงต้องรวยแล้วย้ายประเทศ // INFINITE•UP10TION•The Boyz•SF9 ฯลฯ Kim Dami💕
1,1,2021-03-10 12:27:55,#เหนือวายุ,ptnutsuki,@G_BoyFriend เป็นสายหยาบกับตัวเอง และคนมารยาททรามเท่านั้นค่ะ เป็นสาววาย ที่ไม่ได้แปลว่าจะจับผช.ทุกคนบนโลกมาจิ้นกัน กรุณาเข้าใจตรงกันด้วยค่ะ,382,"ขายของหน่อย ตอนนี้มีนิยายสามเรื่องนะคะ

#บอสข้างบ้าน ออกงานหนังสือเม.ย. เปิดให้อ่านอยู่ไปลองได้ค่ะ
#เหนือวายุ กำลังจะจบเร็วๆนี้แหละ เซ็นสัญญาไปแล้วแต่ออกมะไหร่ยังไม่รู้ ลองได้เช่นกันค่ะ
#คุณนิรันดร์ ตอนนี้มีอีบุ๊กใน meb ทดลองอ่านในรอร ส่วนเล่มจะรีปรินต์งานเม.ย.นี้ค่ะ https://t.co/Ktdf1gqWI5", /บอสข้างบ้าน/เหนือวายุ,299,266,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere
2,5,2021-03-08 19:23:44,#เหนือวายุ,nisxwqqq,เจ่บแผลผ่าคลอดทุกครั้งที่เห็นหน้าเธอคุ้บ 🤍😎✨,101,คุณค้าาาาา จักรวาลแวมไพร์พีเรียดไทยเล็กๆที่ดีที่สุดค่ะคุณ แบบถาษาดีมากกก อธิบายดีมกาๆๆๆ ต้องไปตามๆฟๆๆ เหนือวายุจบไปสดๆร้อนๆ มาหาคุณนับในยุคปัจจุบันกันฮะ ผมกรี๊ดๆๆ ㅠㅡㅡㅡㅠ #คุณนิรันดร์ #เหนือวายุ #นับอนันต์ #แนะนํานิยายวาย #พิมุมีนิยายมาขาย https://t.co/ojzEkyGVN4, ,45,43,lonelyhold8,"full-time mommeaw, part-time anime addictor ; aka. spoiler"
3,7,2021-03-08 05:40:49,#เหนือวายุ,llxxonj,donghan หม่ามี๊วินโกะจัง🌸  ✦𝑵𝑪𝑻 𝑻𝑩𝒁 𝑨𝑻𝒁𖥧 #계현,197,"#เหนือวายุ ค่ะ มีของมาขายอีกแล้ว เหนือวายุ สปินออฟจากคุณนิรันดร์ อ่านแยกกันได้ อ่านต่อกันก็ดี นิยายดาร์กแฟนตาซีสืบสวนสอบสวนในพระนครยามโพล้เพล้เรื่องของคู่เพื่อนแซ่บ คุณตำรวจกับผีดูดเลือดและคดีฆาตกรรมต่อเนื่องที่มีอะไรมากกว่าตาเห็น
#นิยายวาย #นิยายวายจบแล้ว #แนะนำนิยายวาย https://t.co/jVdTF8QpWo", /เหนือวายุ,29,14,fromcincere,#คุณนิรันดร์ ｜รอตีพิมพ์ #บอสข้างบ้าน | WIP #เหนือวายุ #นับอนันต์
4,15,2021-03-07 15:42:30,#เหนือวายุ,matoomii,Mㅔ이 ♡ @Park_Jihoon_twt #ParkJihoon #박지훈 #Jaemin #재민 ⁺◟ #잼런 ⋆‧⁺⊹ ˚✧,1951,#เหนือวายุ เรื่องนี้ดีมาก เป็นแนวแวมไพร์เซตติ้งพระนคร บรรยายดีมาก จริฃๆนักเขียนคนนี้ก็เขียนดีทุกเรื่อง เราอ่านของเขาแทบทุกเรื่องเลย ทั้งคุณนิรันดร์ ทั้งบอสข้างบ้าน ดีมาก ดีทุกเรื่อง ดีจริงๆ https://t.co/fHhNM2iCmV, /เหนือวายุ,2,0,swrkppppppppp,พระเอกโพซ้ายสุดขอบเลยจ่ะ
5,20,2021-03-07 05:38:19,#เหนือวายุ,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,237,"@somsomreview ตอนนี้กำลังอินเรื่องนี้ค่ะ แฟนตาซี ย้อนยุค สืบสวน ภาษาดีมาก มีความเข้ากับยุคสมัยที่เขียน #เหนือวายุ

https://t.co/nMrxV8smgM", /เหนือวายุ,5,5,nanni_wk somsomreview,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere
6,21,2021-03-07 05:38:12,#เหนือวายุ,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,237,เพิ่งได้เริ่มอ่าน #เหนือวายุ แค่ตอนแรกก็ชอบแล้ว คุณคนแต่งยังคงภาษาที่สละสลวยไว้เหมือนเดิม ชอบตั้งแต่อ่าน #คุณนิรันดร์ แล้ว นอกจากภาษาสวยยังบรรยายให้รู้สึกถึงบรรยากาศกรุงเทพสมัยก่อนได้ดี ชอบมาก แล้วพอเรื่องนี้เน้นสืบสวนมากขึ้นยิ่งเข้าทางเลย, /เหนือวายุ/คุณนิรันดร์,5,0,nanni_wk,"#อย่าดุไคฮุน #ficfetish #รักได้ไหมไคฮุน
CUT - https://t.co/nUJWqLFlJx"
7,22,2021-03-07 05:37:56,#เหนือวายุ,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,237,"สารวัตรชนินท์ลาออกเพราะทนไม่ไหวกับความเน่าเฟะของตำรวจเรื่องตั๋วช้างค่ะ555555
 #เหนือวายุ", /เหนือวายุ,4,0,lookket101,หากยอมเป็นคู่ใจ เอาอะไรก็ว่ามา จะขี่ไม้กวาดไปหา พาบินไปด้วยกัน ไกวเปลให้ทุกคืน จะเกาคางให้ทุกวัน อย่าห่วงเลยตัวฉัน จะดูแลเธอเอง #LUKKADE31 #lukafic
8,25,2021-03-07 02:31:58,#เหนือวายุ,lilyu97,𝑖 𝑤𝑖𝑙𝑙 𝑛𝑒𝑣𝑒𝑟 𝑏𝑒 𝑎𝑏𝑙𝑒 𝑡𝑜 𝑙𝑜𝑜𝑘 𝑎𝑡 𝑦𝑜𝑢𝑟 𝑠𝑚𝑖𝑙𝑒 𝑤𝑖𝑡ℎ𝑜𝑢𝑡 𝑙𝑜𝑣𝑖𝑛𝑔 𝑦𝑜𝑢 :),357,#เหนือวายุ ใครชอบแนวสืบสวนต้องมาเรื่องนี้ เป็นเรื่องที่ชอบมากกกก เพราะสืบสวนด้วยแฟนตาซีด้วย แถมคุณชนินท์ยังเป็นเคะที่ไม่อ้อนแอ้นอะ ด้วยความที่เป็นตำรวจเนอะ เขาก็จะมีความเป็นผู้ใหญ่ ดื้อ เด็ดขาด ส่วนวายุเป็นแวมไพร์ที่เข้ามาช่วยสารวัตรคสพเป็นแบบfwbอะ แส้บบบบ https://t.co/sMcVOSZ7Vw, /เหนือวายุ,8,3,lonelyhold8,"full-time mommeaw, part-time anime addictor ; aka. spoiler"
9,26,2021-03-07 02:03:18,#เหนือวายุ,ornlii,"บ่นขิงบ่นข่า 
OngSeongWu | JinYoung | NaJaeMin 
NielOng | BNior | MarkMin 
คูมแม่น้อนพีพี",96,"ไปทำสิ่งนี้มาค่ะ เพื่อความสะดวกในการตามหา หลังจากนี้ถ้าเขียนเรื่องไหนเป็นซีรีส์อีกก็จะรวมลิสต์เรียงตามลำดับที่ควรอ่านไว้ให้อีก #คุณนิรันดร์ #เหนือวายุ #นับอนันต์ 

https://t.co/AjI6JOEn4R", ,14,2,fromcincere,#คุณนิรันดร์ ｜รอตีพิมพ์ #บอสข้างบ้าน | WIP #เหนือวายุ #นับอนันต์
10,27,2021-03-07 02:03:05,#เหนือวายุ,daniiee33,น้องคือคนที่ทำให้แว้บนึงในชีวิตที่เป็นรอยยิ้มได้..ชีวิตที่มัน(.......),6,อ่านจบแล้วคือชั้นตื้นตันในตัวไรท์มาก เก่งมากๆค่ะคุณ ปานดูหนังอยู่ไม่เกินจริง ค่ตมันนน คุณก็เป็นได้นะคนคลั่งรักน่ะ //วายุกาสิ้บสารวัตร #เหนือวายุ, ,3,1,khunkwonG,𝐌𝐮𝐥𝐭𝐢𝐟𝐚𝐧𝐝𝐨𝐦 | 𝐕𝐈𝐏 #BIGBANG 👑 #GTOP 👻🐲 | 𝑾𝑬𝑳𝑶 #ONGSEONGWU (• ·̫ •:·) #Nielong 💜💛 | 𝐍𝐚𝐤𝐚𝐦𝐨𝐭𝐨 #Yuta 🐙💚
11,36,2021-03-07 01:04:22,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,"#เหนือวายุ
มันแบบ ตื้นตันมากงับ🥺😭❤ https://t.co/oaY4YDOTe5", /เหนือวายุ,3,0,NlnPare,"SEVENTEEN เมน WOOZI





















WANNAONE เมน SEONGWU





































HP เมน DM,LL,SS,GG,NS"
12,38,2021-03-07 01:04:12,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,"รักมากๆๆๆๆ ชอบมากๆๆๆๆ รอเล่มค่า
#เหนือวายุ", /เหนือวายุ,3,0,natty_kwk,"😝🤪☺️😆😁😚🙄
--- ผีบ้า ---"
13,40,2021-03-07 01:04:04,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,จบแล้ววว  ไปใช้ชีวิตกับวายุอยุ่ที่อเมริกาอย่างมีความสุขสักทีนะคุนชนินทร์.!!!!!   ได้อิสระแล้ว  อาจจะแอบใจหายที่ไม่ได้ทำงานที่รักต่อ  แต่ได้อิสระเป็นชีวิตของตัวเองอ่ะ อยุ่กับคนที่รักและเข้าใจตัวเราอีก  นี่ว่าคุ้มแล้วว. #เหนือวายุ, ,3,0,realmiew_wpk,"#EXO is my world 🌎
😘박찬열 😘 chanyeol ❤chan&baek❤ EXO 💕💕 EXO-L.☀ we are one 👍 사랑하자 💝💗 ot9 💓"
14,41,2021-03-07 01:04:02,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,ชั้นเสียสติกับประโยคสุดท้ายในท็อค ไอบ้าเอ้ย ขนาดพ่อมาแวบๆยังทำเราเสียอาการเลยอะ ถ้าเป็นพระเอกเรื่องตัวเองต้องดีมากแน่ๆ รอนะคะคุณนับ #เหนือวายุ, ,3,0,xxixixoo,📝💘✨#ฟิคของคนไม่รู้จัก #wwwydt #ไม่อยากชอบเพื่อนnm
15,42,2021-03-07 01:03:51,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,ชั้นที่เริ่มทำวิจัยก่อนคุณไรท์อัพตอนแรกของ #เหนือวายุ จบตอนนี้นิยายจบแล้วชั้นยังไม่เสร็จกับอิวิจัยสักที แงงง ขอแปะไว้ก่อนนะคะ หลังสิ้นเดือนนี้ตามอ่านทั้งวันทั้งคืนแน่ๆ ㅠㅡㅠ, /เหนือวายุ,3,0,khunkwonG,𝐌𝐮𝐥𝐭𝐢𝐟𝐚𝐧𝐝𝐨𝐦 | 𝐕𝐈𝐏 #BIGBANG 👑 #GTOP 👻🐲 | 𝑾𝑬𝑳𝑶 #ONGSEONGWU (• ·̫ •:·) #Nielong 💜💛 | 𝐍𝐚𝐤𝐚𝐦𝐨𝐭𝐨 #Yuta 🐙💚
16,46,2021-03-07 01:03:17,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,ยังอ่านไม่จบแวะมาหวีดก่อน น่าติดตามตั้งแต่เปิดตัวเลยอะ จุดเกิดเหตุคือละแวกบ้านชั้นด้วย เลือกอ่านเพราะจุดนี้ละหนึ่ง ชอบโลเคชั่นพระนคร 555555555555 ชอบทั้งสารวัตรทั้งคุณวายุเท่ทั้งคู่เลย อ่านแต่ละบรรทัดกลัวใจสารวัตรบ้าดีเดือด สัญชาตญาณนักล่า แอแง #เหนือวายุ https://t.co/8Z9m60yjAe, ,3,1,chotvdh,分からないんだ。
17,47,2021-03-07 01:03:14,#เหนือวายุ,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere,6137,"#คุณนิรันดร์ พอ.เป็นหมาป่าที่นอ.เก็บมาเลี้ยง เลยรักแบบเทิดทูลสุดๆ นอ.เป็นแวมไพร์ที่เก่งมาก ส่วน #เหนือวายุ ก็จักรวาลเดียวกัน แต่จะมีสืบสวนมากขึ้น ภาษาสวยเลย
#ผู้ซึ่งเป็นเจ้าสาวของปีศาจ นอ.พิการขากัดครอบครัวไม่รัก ส่งไปแต่งงานกับปีศาจนกเรเวน นอ.คิดว่าต้องโดนฆ่าแน่ สรุปพอ.อบอุ่นมาก https://t.co/C3b43fES73", /คุณนิรันดร์/เหนือวายุ,2,1,readaY24hour,#รีวิวนิยายวาย #แนะนำนิยายวาย #นิยายวาย
